1000,2201,2003,0,2251,2380,2040,2130,2263,2223
1000,2053,2030,0,2060,2101,2251,2223,2381,2012
2000,1201,2003,0,2251,2380,2040,2130,2263,2223
2000,0,2003,1201,2251,2380,2040,2130,2263,2223
2000,2030,2003,0,2201,2060,1223,2261,2242,2263
2000,2030,2003,0,2201,2261,1223,2060,2242,2263
2000,0,2102,2070,2030,2211,2261,1242,2223,2263
2000,2030,2102,2271,2060,0,2211,2242,2223,2263
2002,2200,0,1203,2243,2381,2052,2131,2020,2060
2002,2200,0,1331,2203,2381,2020,2243,2052,2060
2002,2200,2262,0,2203,2381,2020,1231,2243,2060
2002,2200,2262,0,2203,2381,2231,1020,2243,2060
2002,2200,2131,0,2243,2381,2052,1203,2020,2060
2002,2021,2270,0,2203,2062,1040,2263,2341,2000
2002,2021,2270,0,2203,2263,1040,2062,2341,2000
2002,2243,2380,2273,2203,0,2052,2021,2040,2000
2002,2342,2261,0,2203,2380,1040,2021,2263,2000
1100,2203,2311,0,2243,2381,2052,2131,2020,2060
1100,2203,2253,0,2060,2211,2251,2023,2381,2020
1100,2203,2253,0,2020,2251,2211,2023,2381,2060
1100,2302,2022,0,2251,2380,2040,2210,2263,2223
1100,2310,2003,0,2251,2380,2040,2130,2263,2223
1100,2053,2003,0,2060,2211,2251,2223,2381,2020
1100,2053,2003,0,2020,2251,2211,2223,2381,2060
1100,2111,0,2203,2243,2381,2052,2131,2020,2060
1100,2240,2210,0,2052,2203,2243,2060,2381,2012
1100,2040,2070,0,2052,2203,2243,2210,2381,2012
1100,2240,2210,0,2012,2243,2203,2060,2381,2052
1100,2040,2070,0,2012,2243,2203,2210,2381,2052
1100,2030,2131,0,2243,2381,2052,2310,2203,2060
1100,2331,0,2030,2243,2381,2052,2310,2203,2060
1100,2263,2121,0,2060,2241,2020,2381,2301,2223
1100,2030,2381,0,2223,2042,2263,2120,2301,2060
1101,2062,2340,0,2203,2381,2012,2243,2000,2060
1101,2073,2380,0,2040,2012,2251,2243,2000,2203
1102,2213,2000,0,2243,2381,2052,2320,2140,2060
1102,2213,2000,0,2060,2140,2251,2320,2381,2243
1102,2213,2000,0,2052,2141,2263,2320,2040,2380
1102,2213,2000,0,2251,2380,2040,2320,2263,2141
1102,2030,2000,0,2243,2381,2052,2131,2311,2060
1102,2273,2000,0,2050,2130,2241,2380,2311,2233
